pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-23,91.5,-1.63,5.03,"Nola, Aaron",670623,605400,,foul,,,,,6,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,S,,,2,2,2024,-1.37,0.94,0.72,2.34,,,,0,7,Top,,,,,,,8.993132790346097,-132.8906484456452,-2.9270853696045114,-18.20343573249215,29.913008003559316,-20.587590602335617,3.2,1.56,136.0,80.2,73.0,92.5,2198,7.1,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.42,,,,,,,,53,6,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,229,0.0,0.0,69.6,7.9,,0.0,88.0,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,1.8,1.37,1.37,16.9
FC,2024-09-23,86.4,-1.6,5.01,"Nola, Aaron",670623,605400,,ball,,,,,14,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,B,,,1,2,2024,0.07,0.61,1.79,2.11,,,,0,7,Top,,,,,,,8.03820658699431,-125.75981433431294,-2.0083631775237505,-0.6755785957894508,23.102983014846476,-25.43411128359984,3.3,1.56,,,,88.0,2281,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.46,,,,,,,,53,5,Cutter,6,0,0,6,0,6,0,6,Standard,Standard,212,0.0,0.04,,,,-0.04,,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,2.42,-0.07,-0.07,18.4
KC,2024-09-23,78.4,-1.76,5.01,"Nola, Aaron",670623,605400,,foul,,,,,4,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,S,,,1,2,2024,1.13,-0.83,-0.41,2.31,,,,0,7,Top,,,,,,,0.8222741063886754,-114.10932346598588,2.539488166028722,9.722507652818464,20.533397824430835,-40.10071509679096,3.2,1.56,231.0,91.5,21.0,78.9,2393,6.5,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.95,,,,,,,,53,4,Knuckle Curve,6,0,0,6,0,6,0,6,Standard,Standard,65,0.0,0.0,75.3,8.2,,0.0,91.5,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,4.53,-1.13,-1.13,17.5
SI,2024-09-23,90.6,-1.74,5.0,"Nola, Aaron",670623,605400,,foul,,,,,5,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,S,,,1,1,2024,-1.23,0.78,0.26,2.21,,,,0,7,Top,,,,,,,7.74741794647991,-131.77660364689308,-2.707982482724932,-16.030395636062963,28.5232601252722,-22.765891670028157,3.2,1.56,206.0,72.3,53.0,91.7,2104,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.46,,,,,,,,53,3,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,231,0.0,-0.056,68.7,8.6,,0.056,88.0,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,2.01,1.23,1.23,17.7
KC,2024-09-23,78.7,-1.78,5.17,"Nola, Aaron",670623,605400,,foul,,,,,8,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,S,,,1,0,2024,1.22,-1.0,0.23,1.74,,,,0,7,Top,,,,,,,2.112023908284652,-114.68022484672444,1.2488106831258494,10.329146679965236,21.447270483892144,-41.47064753648792,3.2,1.56,,,,79.3,2673,6.7,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.83,,,,,,,,53,2,Knuckle Curve,6,0,0,6,0,6,0,6,Standard,Standard,60,0.0,-0.049,72.2,8.5,,0.049,,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,4.68,-1.22,-1.22,22.5
FF,2024-09-23,91.0,-1.67,5.12,"Nola, Aaron",670623,605400,,ball,,,,,12,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,B,,,0,0,2024,-0.88,1.18,1.33,2.59,,,,0,7,Top,,,,,,,9.51036695877519,-132.15426836639904,-2.9959450278288684,-12.33305804729725,27.996821523619634,-17.928520078036602,3.4,1.59,,,,92.1,2252,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.47,,,,,,,,53,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,226,0.0,0.038,,,,-0.038,,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,1.59,0.88,0.88,20.4
SI,2024-09-23,92.9,-1.58,5.09,"Nola, Aaron",641355,605400,strikeout,called_strike,,,,,12,Cody Bellinger called out on strikes.,R,L,R,PHI,CHC,S,2.0,,0,2,2024,-1.49,0.62,0.84,2.88,643565.0,673548.0,,2,6,Top,,,,,,,9.588387666609918,-135.0122968879071,-1.1949867905251683,-20.36329084623286,29.89056684664175,-24.581479983488432,3.79,1.86,,,,93.9,2299,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.54,,0.0,0.0,1.0,0.0,0.0,,48,3,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,227,0.023,-0.176,,,,0.176,,5,-5,0.954,0.046,31,28,31,29,3,2,5,2,6,1,2.03,1.49,-1.49,22.4
SI,2024-09-23,91.9,-1.76,5.2,"Nola, Aaron",641355,605400,,called_strike,,,,,6,Cody Bellinger called out on strikes.,R,L,R,PHI,CHC,S,,,0,1,2024,-1.33,0.63,0.55,3.14,643565.0,673548.0,,2,6,Top,,,,,,,8.832650480738907,-133.57576599622035,-0.7165031374081641,-17.772738592782616,28.580294972258145,-24.692739292698818,3.86,1.76,,,,93.0,2272,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.53,,,,,,,,48,2,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,227,0.0,-0.059,,,,0.059,,5,-5,0.954,0.046,31,28,31,29,3,2,5,2,6,1,2.07,1.33,-1.33,22.7
SI,2024-09-23,92.2,-1.6,5.18,"Nola, Aaron",641355,605400,,called_strike,,,,,6,Cody Bellinger called out on strikes.,R,L,R,PHI,CHC,S,,,0,0,2024,-1.48,0.74,0.4,2.9,643565.0,673548.0,,2,6,Top,,,,,,,8.43420471049479,-133.99361707399368,-1.5773495587967592,-19.624163542484094,29.546583263862892,-23.174023079877664,3.89,1.78,,,,93.6,2332,7.3,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.25,,,,,,,,48,1,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,226,0.0,-0.046,,,,0.046,,5,-5,0.954,0.046,31,28,31,29,3,2,5,2,6,1,1.96,1.48,-1.48,24.9
CH,2024-09-23,85.3,-1.79,5.07,"Nola, Aaron",673548,605400,double,hit_into_play,,,,,7,Seiya Suzuki doubles (26) on a line drive to left fielder Brandon Marsh. Mike Tauchman to 3rd.,R,R,R,PHI,CHC,X,7.0,line_drive,0,1,2024,-1.16,0.09,-0.39,1.56,,,643565.0,2,6,Top,40.74,108.73,,,,,5.675889462135966,-124.120644462727,-2.1416040315363603,-13.133773112011417,25.57672020332012,-30.97240573432637,3.16,1.47,272.0,94.4,19.0,86.0,1625,6.8,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.71,0.394,0.429,1.25,1.0,1.0,1.0,4.0,47,2,Changeup,5,0,0,5,0,5,0,5,Standard,Standard,255,-0.015,0.912,76.3,7.8,0.608,-0.912,94.4,5,-5,0.969,0.031,31,29,31,30,3,2,5,1,6,1,3.05,1.16,1.16,15.7
